,Wide-angle Zooms,Focus,Filter,Weather,Lens,Lens,Product,Launch,Street
,,System,Type,Sealing,Dimensions,Weight,Launch,Price,Price
sigma 56mm 14 c,Sigma 56mm f/1.4 DC DN C,AF,55,i,67 x 58 mm,265 g,2018,479,i
lensbaby 56mm,Lensbaby Velvet 56mm f/1.6,MF,62,i,72 x 94 mm,400 g,2015,499,i
olympus mzd 60mm,Olympus 60mm f/2.8 Macro,AF,46,i,56 x 82 mm,186 g,2012,499,i
sigma 60mm art mft,Sigma 60mm f/2.8 DN Art,AF,46,i,61 x 56 mm,190 g,2013,239,i
venus laowa 60mm 28 macro,Venus Optics Laowa 60mm f/2.8 2:1 Macro,MF,62,i,70 x 95 mm,503 g,2014,429,i
olympus mzd 75mm,Olympus 75mm f/1.8,AF,58,i,64 x 69 mm,305 g,2012,899,i
samyang 85mm,Samyang 85mm f/1.4 AS IF UMC,MF,72,i,78 x 100 mm,565 g,2013,399,i
lensbaby 85mm 18,Lensbaby Velvet 85mm f/1.8,MF,67,i,76 x 89 mm,530 g,2017,499,i
samyang 85mm 18,Samyang 85mm f/1.8,MF,62,i,68 x 81 mm,344 g,2018,399,i
samyang 100mm,Samyang 100mm f/2.8 ED UMC MACRO,MF,67,i,73 x 148 mm,725 g,2015,599,i
venus laowa 105mm,Venus Optics Laowa STF 105mm f/2.0,MF,67,i,76 x 99 mm,745 g,2016,729,i
samyang 135mm,Samyang 135mm f/2.0 ED UMC,MF,77,i,82 x 147 mm,840 g,2015,599,i
panasonic leica 200mm 28,Panasonic Leica 200mm f/2.8 Power-OIS,AF,77,i,88 x 174 mm,"1,245 g",2017,"2,999",i
olympus mzd 300mm,Olympus 300mm f/4 IS Pro,AF,77,i,93 x 227 mm,"1,475 g",2016,"2,499",i
tokina 300mm 63,Tokina Reflex 300mm f/6.3 MF Macro,MF,55,i,55 x 66 mm,298 g,2012,369,i
samyang 300mm,Samyang 300mm f/6.3 ED UMC CS,MF,58,i,65 x 73 mm,310 g,2013,299,i
kodak 400mm,Kodak 400mm f/6.7 Fieldscope,MF,67,i,70 x 292 mm,640 g,2014,199,i
